vintage,cbsa_code,county_fips
2014,21840,19101
2014,21900,54049
2014,21980,32001
2014,22020,27027
2014,22020,38017
2014,22060,27131
2014,22100,29187
2014,22140,35045
2014,22180,37051
2014,22180,37093
2014,22220,05007
2014,22220,05087
2014,22220,05143
2014,22220,29119
2014,22260,27111
2014,22280,32019
2014,22300,39063
2014,22340,13017
2014,22380,04005
2014,22420,26049
2014,22500,45031
2014,22500,45041
2014,22520,01033
2014,22520,01077
2014,22540,55039
2014,22580,37161
2014,22620,05123
2014,22660,08069
2014,22700,19187
2014,22744,12011
2014,22780,29169
2014,22800,17067
2014,22800,19111
2014,22800,29045
2014,22820,08087
2014,22860,22115
2014,22900,05033
2014,22900,05131
2014,22900,40079
2014,22900,40135
2014,23060,18003
2014,23060,18179
2014,23060,18183
2014,23104,48221
2014,23104,48251
2014,23104,48367
2014,23104,48425
2014,23104,48439
2014,23104,48497
2014,23140,18023
2014,23180,21005
2014,23180,21073
2014,23240,48171
2014,23300,17177
2014,23340,31053
2014,23380,39143
2014,23420,06019
2014,23460,01055
2014,23500,45021
2014,23540,12001
2014,23540,12041
2014,23580,13139
2014,23620,48097
2014,23660,17095
2014,23700,35031
2014,23780,20055
2014,23780,20093
2014,23820,32005
2014,23844,18073
2014,23844,18089
2014,23844,18111
2014,23844,18127
2014,23860,45043
2014,23900,42001
2014,23940,56005
2014,23980,21009
2014,23980,21169
2014,24020,36113
2014,24020,36115
2014,24060,08045
2014,24060,08097
2014,24100,36035
2014,24140,37191
2014,24220,27119
2014,24220,38035
2014,24260,31079
2014,24260,31081
2014,24260,31093
2014,24260,31121
2014,24300,08077
2014,24340,26015
2014,24340,26081
2014,24340,26117
2014,24340,26139
2014,24380,35006
2014,24420,41033
2014,24460,20009
2014,24500,30013
2014,24540,08123
2014,24580,55009
2014,24580,55061
2014,24580,55083
2014,24620,47059
2014,24640,25011
2014,24660,37081
2014,24660,37151
2014,24660,37157
2014,24700,18031
2014,24740,28151
2014,24780,37147
2014,24820,39037
2014,24860,45007
2014,24860,45045
2014,24860,45059
2014,24860,45077
2014,24900,28015
2014,24900,28083
2014,24940,45001
2014,24940,45047
2014,24980,28043
2014,25020,72015
2014,25020,72057
2014,25020,72109
2014,25060,28045
2014,25060,28047
2014,25060,28059
2014,25100,40139
2014,25180,24043
2014,25180,54003
2014,25200,16013
2014,25200,16025
2014,25200,16063
2014,25220,22105
2014,25260,06031
2014,25300,29127
2014,25300,29173
2014,25420,42041
2014,25420,42043
2014,25420,42099
2014,25460,05009
2014,25460,05101
2014,25500,51165
2014,25500,51660
2014,25540,09003
2014,25540,09007
2014,25540,09013
2014,25580,31001
2014,25620,28035
2014,25620,28073
2014,25620,28111
2014,25700,20051
2014,25720,49051
2014,25740,30043
2014,25740,30049
2014,25760,05107
2014,25780,37181
2014,25820,48117
2014,25840,41049
2014,25840,41059
2014,25860,37003
2014,25860,37023
2014,25860,37027
2014,25860,37035
2014,25880,26059
2014,25900,15001
2014,25940,45013
2014,25940,45053
2014,25980,13179
2014,25980,13183
2014,26020,35025
2014,26090,26005
2014,26140,12017
2014,26220,41027
2014,26300,05051
2014,26340,26061
2014,26340,26083
2014,26380,22057
2014,26380,22109
2014,26420,48015
2014,26420,48039
2014,26420,48071
2014,26420,48157
2014,26420,48167
2014,26420,48201
2014,26420,48291
2014,26420,48339
2014,26420,48473
2014,26460,36021
2014,26500,42061
2014,26540,18069
2014,26580,21019
2014,26580,21089
2014,26580,39087
2014,26580,54011
2014,26580,54043
2014,26580,54079
2014,26580,54099
2014,26620,01083
2014,26620,01089
2014,26660,48455
2014,26660,48471
2014,26700,46005
2014,26740,20155
2014,26780,27085
2014,26820,16019
2014,26820,16023
2014,26820,16051
2014,26860,42063
2014,26900,18011
2014,26900,18013
2014,26900,18057
2014,26900,18059
2014,26900,18063
2014,26900,18081
2014,26900,18095
2014,26900,18097
2014,26900,18109
2014,26900,18133
2014,26900,18145
2014,26940,28133
2014,26960,26067
2014,26980,19103
2014,26980,19183
2014,27020,26043
2014,27020,55037
2014,27060,36109
2014,27100,26075
2014,27140,28029
2014,27140,28049
2014,27140,28089
2014,27140,28121
2014,27140,28127
2014,27140,28163
2014,27160,39079
2014,27180,47023
2014,27180,47033
2014,27180,47113
2014,27220,16081
2014,27220,56039
2014,27260,12003
2014,27260,12019
2014,27260,12031
2014,27260,12089
2014,27260,12109
2014,27300,17137
2014,27300,17171
2014,27340,37133
2014,27380,48073
2014,27420,38093
2014,27460,36013
2014,27500,55105
2014,27540,18037
2014,27540,18125
2014,27580,72073
2014,27600,13157
2014,27620,29027
2014,27620,29051
2014,27620,29135
2014,27620,29151
2014,27700,13305
2014,27740,47019
2014,27740,47171
2014,27740,47179
2014,27780,42021
2014,27860,05031
2014,27860,05111
2014,27900,29097
2014,27900,29145
2014,27920,20061
2014,27940,02110
2014,27980,15005
2014,27980,15009
2014,28020,26077
2014,28020,26159
2014,28060,30029
2014,28100,17091
2014,28140,20091
2014,28140,20103
2014,28140,20107
2014,28140,20121
2014,28140,20209
2014,28140,29013
2014,28140,29025
2014,28140,29037
2014,28140,29047
2014,28140,29049
2014,28140,29095
2014,28140,29107
2014,28140,29165
2014,28140,29177
2014,28180,15007
2014,28260,31019
2014,28260,31099
2014,28300,33005
2014,28340,18113
2014,28380,29069
2014,28420,53005
2014,28420,53021
2014,28500,48265
2014,28540,02130
2014,28580,12087
2014,28620,37055
2014,28620,37177
2014,28660,48027
2014,28660,48099
2014,28660,48281
2014,28700,47073
2014,28700,47163
2014,28700,51169
2014,28700,51191
2014,28700,51520
2014,28740,36111
2014,28780,48261
2014,28780,48273
2014,28820,37107
2014,28860,29001
2014,28860,29197
2014,28900,41035
