Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,366,32780, ,Medford  OR ,653,653,210550,7,14,2400,14,49,8035,59,668,105879,608,608,203433,7,14,2400,10,37,7267,50,623,100795
202399,368,32820, ,Memphis  TN-MS-AR ,3062,3062,838853,2,4,1159,3,12,3427,23,980,145856,2861,2861,800837,2,4,1159,3,12,3427,23,980,145856
202399,370,33100, ,Miami-Fort Lauderdale-Pompano Beach  FL ,5512,5512,2479709,205,410,100458,44,171,35225,395,15227,3364913,4993,4993,2271308,205,410,100458,43,168,34078,360,14777,3322747
202399,370,38940, ,Port St. Lucie  FL ,5405,5405,1585074,110,220,31568,2,6,361,58,506,105526,5399,5399,1584361,109,218,30627,0,0,0,57,471,101609
202399,370,42680, ,Sebastian-Vero Beach  FL ,1215,1215,546780,26,52,10328,3,9,606,8,380,54099,783,783,364305,23,46,9419,0,0,0,8,380,54099
202399,372,33260, ,Midland  TX ,810,810,204721,0,0,0,2,8,550,0,0,0,810,810,204721,0,0,0,2,8,550,0,0,0
202399,372,36220,C,Odessa  TX ,690,690,197000,0,0,0,0,0,0,0,0,0,690,690,197000,0,0,0,0,0,0,0,0,0
202399,376,33340,C,Milwaukee-Waukesha  WI ,1408,1408,653521,135,270,65395,3,12,2504,44,1154,193701,1388,1388,647721,129,258,62938,3,12,2504,44,1154,193701
202399,376,39540, ,Racine  WI ,156,156,69063,3,6,1025,0,0,0,7,362,113500,155,155,68751,0,0,0,0,0,0,7,362,113500
202399,378,33460, ,Minneapolis-St. Paul-Bloomington  MN-WI ,8245,8245,2984602,86,172,33561,47,176,41562,186,10040,1950120,8144,8144,2949265,86,172,33561,47,176,41562,183,9935,1932429
202399,378,41060, ,St. Cloud  MN ,427,427,125149,3,6,770,1,4,800,8,244,30700,380,380,109455,3,6,770,1,4,800,8,244,30700
