NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Columbia, SC Metro Area",55971,824278,36.6,109438,50353,312401,212045,154400,17900,,msa,17900,,2019
"Columbus, GA-AL Metro Area",47571,319402,35.4,30423,14537,118780,66447,142800,17980,,msa,17980,,2019
"Cullman, AL Micro Area",44918,82853,40.8,5121,2251,31034,23216,128600,18980,,msa,18980,,2019
"Columbus, IN Metro Area",63431,82481,37.8,10923,6598,31452,22470,153500,18020,,msa,18020,,2019
"Columbus, MS Micro Area",50441,59150,37.1,5821,2497,22436,14253,134200,18060,,msa,18060,,2019
"Columbus, NE Micro Area",62305,33174,38.4,3159,1198,12947,9381,149700,18100,,msa,18100,,2019
"Columbus, OH Metro Area",65150,2077761,36.0,326275,134535,794449,488592,184800,18140,,msa,18140,,2019
"Concord, NH Micro Area",75737,149917,42.8,21824,11962,58452,41953,237600,18180,,msa,18180,,2019
"Connersville, IN Micro Area",46175,23194,42.8,1476,566,9584,6662,81900,18220,,msa,18220,,2019
"Cookeville, TN Micro Area",41913,111197,38.8,10063,4406,45130,30125,151400,18260,,msa,18260,,2019
"Coos Bay, OR Micro Area",45051,63686,48.6,5212,2492,27025,17798,198100,18300,,msa,18300,,2019
"Cordele, GA Micro Area",36042,22713,38.5,1356,511,8585,4678,83100,18380,,msa,18380,,2019
"Corinth, MS Micro Area",42086,37090,39.7,2755,1183,14649,10064,102700,18420,,msa,18420,,2019
"Cornelia, GA Micro Area",50563,44626,39.7,3237,1690,15139,11848,150500,18460,,msa,18460,,2019
"Corning, NY Micro Area",53663,96422,42.9,8272,6096,39861,28995,99600,18500,,msa,18500,,2019
"Corpus Christi, TX Metro Area",56013,428548,35.5,38308,14131,152349,90662,135900,18580,,msa,18580,,2019
"Corsicana, TX Micro Area",48529,48995,38.1,3333,1464,17338,11947,97600,18620,,msa,18620,,2019
"Cortland, NY Micro Area",56023,47865,36.4,4711,2896,17745,11648,123800,18660,,msa,18660,,2019
"Corvallis, OR Metro Area",62077,91107,33.0,16168,8399,35718,20438,331300,18700,,msa,18700,,2019
"Coshocton, OH Micro Area",46606,36585,41.3,2236,1005,14476,10709,99200,18740,,msa,18740,,2019
"Craig, CO Micro Area",57229,13127,36.6,989,410,5366,3475,182300,18780,,msa,18780,,2019
"Crawfordsville, IN Micro Area",55522,38287,40.2,3307,1077,15382,11005,125700,18820,,msa,18820,,2019
"Crescent City, CA Micro Area",45283,27495,39.5,1711,683,9945,6273,218800,18860,,msa,18860,,2019
"Crestview-Fort Walton Beach-Destin, FL Metro Area",62161,272056,38.6,37022,15869,105382,69926,221300,18880,,msa,18880,,2019
"Crossville, TN Micro Area",45958,59216,51.0,5097,2401,25801,20011,153200,18900,,msa,18900,,2019
"Decatur, IN Micro Area",52504,35376,33.5,2327,849,12481,9623,129300,19540,,msa,19540,,2019
"Defiance, OH Micro Area",59931,38160,40.4,3047,1191,15297,11669,119900,19580,,msa,19580,,2019
"Del Rio, TX Micro Area",46147,48969,31.8,3800,1272,15779,10021,103400,19620,,msa,19620,,2019
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",50360,646288,47.5,75207,29091,258616,184233,184200,19660,,msa,19660,,2019
"Deming, NM Micro Area",29360,24083,37.1,1184,602,8904,5422,86900,19700,,msa,19700,,2019
"Denver-Aurora-Lakewood, CO Metro Area",79664,2892066,36.5,554780,236837,1112126,710638,380900,19740,,msa,19740,,2019
"DeRidder, LA Micro Area",53209,37043,37.4,2958,1154,13520,10474,127500,19760,,msa,19760,,2019
"Des Moines-West Des Moines, IA Metro Area",70126,680439,36.2,115068,35036,266943,186059,182400,19780,,msa,19780,,2019
"Detroit-Warren-Dearborn, MI Metro Area",60984,4317848,40.0,558105,284577,1703819,1175462,170000,19820,,msa,19820,,2019
"Dickinson, ND Micro Area",72123,32003,34.5,3492,833,12907,7950,237800,19860,,msa,19860,,2019
"Dixon, IL Micro Area",58194,34389,43.2,2819,1397,13788,9971,119900,19940,,msa,19940,,2019
"Dodge City, KS Micro Area",51711,34179,32.2,2293,959,11344,6978,112500,19980,,msa,19980,,2019
"Cullowhee, NC Micro Area",45288,57198,38.6,5636,2810,22393,14804,182000,19000,,msa,19000,,2019
"Cumberland, MD-WV Metro Area",47330,98612,42.5,7225,4061,38315,27158,127400,19060,,msa,19060,,2019
