NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Muscatine, IA Micro Area",69396,42559,39.6,4598,1498,17345,12820,182100,34700,2024
"Muskegon-Norton Shores, MI Metro Area",65024,175961,40.0,18261,6089,67732,52871,198300,34740,2024
"Muskogee, OK Micro Area",53619,66444,37.9,5705,2081,25739,17121,153200,34780,2024
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",66880,383016,48.7,50658,20254,158779,122680,287700,34820,2024
"Nacogdoches, TX Micro Area",53555,65162,31.9,6592,2621,25302,14993,169200,34860,2024
"Nantucket, MA Micro Area",139688,14483,42.4,3620,1436,5252,3770,1593800,34880,2024
"Napa, CA Metro Area",111471,134869,42.9,25153,9081,49763,31555,869500,34900,2024
"Naples-Marco Island, FL Metro Area",90045,398291,53.3,72405,34357,165875,127058,540700,34940,2024
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",85447,2079596,36.9,368250,149100,829134,540644,409600,34980,2024
"Natchez, MS-LA Micro Area",42104,54045,40.8,4529,1902,20736,14910,101500,35020,2024
"Natchitoches, LA Micro Area",46292,36693,33.4,3401,1630,14508,8842,171300,35060,2024
"New Bern, NC Micro Area",64475,124304,41.0,14134,7130,52452,37142,220600,35100,2024
"Newberry, SC Micro Area",61780,38435,41.9,3498,2083,15325,11202,173300,35140,2024
"New Castle, IN Micro Area",63150,48970,42.2,4016,1729,18642,14203,154400,35220,2024
"New Haven, CT Metro Area",88197,570598,40.2,86918,53387,230673,139620,353100,35300,2024
"New Iberia, LA Micro Area",56961,68599,38.3,4813,1601,26816,18035,164500,35340,2024
"New Orleans-Metairie, LA Metro Area",62655,981662,39.2,136392,60394,398564,241581,260200,35380,2024
"New Philadelphia-Dover, OH Micro Area",65044,92385,41.1,8352,3528,38492,26507,185400,35420,2024
"Newport, OR Micro Area",63165,50964,52.7,6520,3486,23115,16534,410800,35440,2024
